sintoma_id,sintoma_principal,sinonimos,doenca_associada,risco_sugerido,justificativa
dor_peito_esforco,dor no peito ao esforço,dor no peito ao subir escadas|pressão no peito ao esforço|aperto no peito ao caminhar|pressão forte no peito,Angina,alto_risco,Dor ou pressão torácica precipitada por esforço pode ser compatível com isquemia miocárdica.
dor_peito_repouso,dor no peito em repouso,dor no peito mesmo parado|dor no peito mesmo em repouso|pressão no peito em repouso|aperto no peito sem esforço,Síndrome coronariana aguda,alto_risco,Dor torácica em repouso requer avaliação urgente por possível síndrome coronariana aguda.
irradiacao_braco,dor irradiando para o braço,dor vai para o braço|dor no braço esquerdo junto com dor no peito|dor irradia para o braço,Infarto agudo do miocárdio,alto_risco,Irradiação de dor torácica para braço é um sinal de alerta cardiovascular.
suor_frio,suor frio,sudorese fria|suando frio|transpiração fria,Infarto agudo do miocárdio,alto_risco,Sudorese fria associada a desconforto torácico é um sinal de alerta.
nausea,náusea,enjoado|enjoo|vontade de vomitar,Infarto agudo do miocárdio,alto_risco,Náusea pode acompanhar eventos coronarianos quando associada a outros sinais.
dispneia_esforco,falta de ar ao esforço,cansaço para respirar ao caminhar|respiração curta ao subir escadas|ofegante com esforço|falta de ar ao caminhar,Insuficiência cardíaca,alto_risco,Dispneia desproporcional ao esforço pode indicar comprometimento cardíaco.
dispneia_repouso,falta de ar em repouso,dificuldade para respirar parado|sem ar mesmo sentado|ofegante em repouso,Insuficiência cardíaca descompensada,alto_risco,Dispneia em repouso é sinal de possível descompensação e precisa de avaliação rápida.
ortopneia,falta de ar ao deitar,preciso dormir com dois travesseiros|respiração pior quando deito|só consigo dormir sentado,Insuficiência cardíaca,alto_risco,Piora respiratória ao deitar é compatível com congestão pulmonar.
edema_pernas,inchaço nas pernas,pernas inchadas|pernas ficaram inchadas|tornozelos inchados|inchaço nos pés,Insuficiência cardíaca,alto_risco,Edema periférico com dispneia ou fadiga pode indicar retenção de líquidos.
fadiga_persistente,cansaço constante,fadiga persistente|cansaço mesmo após descansar|sem energia por vários dias,Insuficiência cardíaca,baixo_risco,Fadiga isolada é inespecífica mas merece investigação quando persistente.
palpitacao_irregular,batimento irregular,coração batendo irregular|ritmo descompassado|batimento fora do ritmo,Arritmia,alto_risco,Percepção de ritmo irregular pode indicar alteração do ritmo cardíaco.
taquicardia,palpitação acelerada,coração disparado|coração dispara|coração muito rápido|batimento acelerado|palpitações rápidas,Taquicardia,alto_risco,Taquicardia associada a sintomas sistêmicos pode exigir avaliação urgente.
sincope,desmaio,perda de consciência|apaguei de repente|desfalecimento,Arritmia com repercussão,alto_risco,Síncope associada a palpitações é um sinal de risco.
pre_sincope,quase desmaio,visão escureceu|sensação de desmaio|quase apaguei|quase desmaiei,Arritmia,alto_risco,Pré-síncope pode refletir redução transitória da perfusão cerebral.
tontura,tontura,cabeça girando|desequilíbrio repentino|vertigem,Hipotensão,baixo_risco,Tontura isolada tem múltiplas causas e exige correlação com outros sintomas.
cefaleia,dor de cabeça,cefaleia|cabeça doendo|pressão na cabeça,Hipertensão arterial,baixo_risco,Cefaleia isolada não confirma hipertensão mas pode motivar aferição da pressão.
azia,queimação após refeição,azia|ardor depois de comer|queimação no peito após comer|queimação no centro do peito|melhora com antiácido,Refluxo gastroesofágico,baixo_risco,Queimação relacionada à alimentação e aliviada por antiácido sugere causa digestiva.
dor_muscular,dor ao movimento,dor nas costas ao mexer|dor localizada nas costas|dor depois de carregar peso|dor que piora ao movimentar o tronco|piora quando movimento o tronco,Dor musculoesquelética,baixo_risco,Dor reproduzida por movimento e iniciada após esforço mecânico sugere origem musculoesquelética.
tosse,tosse,tosse seca|tosse com catarro|acessos de tosse,Infecção respiratória,baixo_risco,Tosse associada a febre é mais compatível com quadro respiratório.
febre,febre,febre baixa|temperatura elevada|estado febril,Infecção respiratória,baixo_risco,Febre é sinal sistêmico e deve ser interpretada com sintomas respiratórios.
ansiedade,ansiedade intensa,crise de ansiedade|nervosismo intenso|sensação de pânico,Crise de ansiedade,baixo_risco,Ansiedade pode causar sintomas físicos mas causas orgânicas devem ser excluídas.
